vid_idx,num_person,time_1,time_2,time_3,ade_1,ade_2,ade_3,social_1,social_2,social_3
114,4,259,264,259,0.6979166694444106,0.6030535184164899,0.7212916163744844,0.4974466662132445,0.3813861962213611,0.5051043557168784
118,3,209,209,209,0.963035834991298,0.9630580473447733,0.963023227122795,0.0,0.0,0.0
127,4,1002,1002,1002,1.2587113937073104,1.241060214359355,1.2801406284277763,0.5876741368867353,0.5737179487179487,0.5979567307692307
141,3,150,154,152,0.8804425560527159,1.1556016681504997,0.9063049212143404,0.8539376568880898,0.40858967674661106,0.8440671350507417
144,4,164,203,160,0.7592494422541409,1.2371641704785457,0.6568433315292376,0.15281373012124075,0.04987538051750381,0.4861509998425445
15,2,143,146,146,0.8632587350853431,0.9439832333047395,1.1075891581752466,0.15922158337019018,0.148664343786295,0.18546365914786966
22,5,238,1002,238,1.0380395127767352,1.3665036821327372,0.97448042128781,0.43187407621862955,0.1185199587568125,0.645384673990888
24,4,259,271,261,0.40615733272134247,0.46573684326235326,0.3293825857115121,0.6128798366763772,0.590763364608349,0.5242733058135536
25,3,214,214,214,0.9632270642723881,0.8730133964310837,0.9633517243121,0.12508356211504637,0.08949861179160541,0.11545504304124994
29,5,258,271,263,0.7403548578055504,0.867020661206991,0.7478719580514974,0.6455366331781427,0.5659198771502879,0.5859468557605032
32,2,166,171,166,0.9921793124197728,0.9791876976839728,0.9755261826736414,0.16143011917659805,0.15535444947209653,0.14797760924521486
49,3,143,152,139,0.8848870735483247,1.066793486316038,0.8644618907956098,0.4169512139777627,0.389627520127753,0.5192190436989779
57,3,224,227,224,0.7433273516417448,1.19599486567151,0.693658464533576,0.23128372552750445,0.3105450459800021,0.2131131170246484
67,5,285,285,285,0.5441715645943666,0.6425753293861088,0.4992781544368473,0.10652609589122583,0.13726389143590684,0.09684271654746622
