idx,time,number,sdvr,basic,social_1,social_2
109,437,10,0.854282335,0.986067771,0.465817953,0.634378465
64,346,10,0.688186933,0.387985046,0.349051895,0.337093962
71,425,8,0.057451523,0.357816451,0.360628751,0.357965395
94,321,7,0.66212294,0.585091656,0.649173401,0.494997168
51,225,7,0.615468235,0.414822395,0.36219795,0.411479362
78,278,7,0.590667846,0.896026629,0.601818058,0.843423555
124,338,6,0.654355175,0.26864174,0.337888457,0.259273885
62,246,6,0.620971626,0.704727343,0.58231037,0.631056575
61,339,6,0.531787548,0.96885227,0.930076194,0.902600786
74,293,6,0.429030226,0.949373735,0.667224427,0.808783158
92,415,6,0.422598571,1.282805409,1.291694646,1.283839088
47,394,6,0.364460689,0.489653285,0.527765777,0.485071176
50,246,6,0.314317673,0.405714085,0.299742079,0.316127897
126,377,6,0.119840481,0.840218968,0.832923725,0.787189706
5,174,5,0.797714286,0.671284517,0.311658704,0.383331005
96,265,5,0.494566545,0.66137911,0.467180711,0.523037424
29,243,5,0.441893069,0.654722594,0.509108087,0.573957168
22,251,5,0.437683284,0.963703099,0.632131755,0.902063485
82,301,5,0.417452057,0.666106146,0.595989419,0.571787213
58,313,5,0.081150084,0.740952803,0.740938228,0.740961462
67,295,5,0.054465432,0.34004565,0.341090887,0.329767289
70,232,5,0,0.371064025,0.371064134,0.371063713
127,185,4,0.959935897,1.203002978,1.194547354,1.201380286
147,167,4,0.70718126,0.30750928,0.633458619,0.365440239
81,237,4,0.683889498,0.379239729,0.577356177,0.449519331
122,270,4,0.603179304,0.537189378,0.339427099,0.409349944
60,169,4,0.537737092,0.257150966,0.414550497,0.376103536
52,182,4,0.52193426,0.946977836,0.501824357,0.397126886
63,179,4,0.514384236,0.598360248,0.570527851,0.532575478
93,340,4,0.497959924,0.68667496,0.977073702,0.787182563
144,147,4,0.494863014,0.812560401,0.44922997,0.747937077
24,269,4,0.493242593,0.407951263,0.479157231,0.308311989
116,255,4,0.484026791,0.595950487,0.612358218,0.454935725
114,271,4,0.357613722,0.752369307,0.761747777,0.752959688
65,215,4,0.076630435,0.359990413,0.467285039,0.383328975
90,363,4,0.049362245,0.871381175,0.871463854,0.871343608
28,279,4,0.029014727,0.565264404,0.565264465,0.565264263
84,313,4,0.026760406,0.903852613,0.903863777,0.903844083
26,179,4,0.006097561,0.251312956,0.251312956,0.251312954
30,380,4,0,0.230164284,0.230164284,0.230164284
141,145,3,0.704639739,1.189468525,0.69733297,0.944744264
86,181,3,0.664835165,0.892772486,1.122712527,1.01237465
49,178,3,0.536372203,0.754208257,0.748484007,0.758093004
34,144,3,0.494172494,0.37973278,0.23171461,0.294562725
25,202,3,0.255590195,0.631181233,0.668144031,0.641761414
76,287,3,0.131982293,0.813133132,0.754614949,0.73239364
57,241,3,0.124337521,1.189276687,0.95052043,0.874070456
31,331,3,0.120074956,0.533334415,0.709543329,0.548012574
19,384,3,0.085851852,0.319478297,0.31945765,0.31949198
44,295,3,0.07958097,0.54637608,0.546216669,0.546430582
54,240,3,0.077118472,0.476003556,0.476005689,0.476001176
20,270,3,0.038694857,0.365405995,0.36557511,0.365348854
101,241,3,0.020985057,0.642943827,0.642943827,0.642943816
118,198,3,0,0.914381072,0.914381072,0.914381072
12,213,3,0,0.338306173,0.338306173,0.338306172
35,182,3,0,0.6828794,0.6828794,0.682879401
45,226,3,0,0.445703012,0.445703012,0.445703012
48,266,3,0,0.524626647,0.524626682,0.524626567
72,237,3,0,0.620920153,0.620920153,0.620920153
80,289,3,0,0.537336859,0.537336859,0.537336859
9,202,3,0,0.299242719,0.299242719,0.299242719
46,199,2,0.14484127,0.601778738,0.601729164,0.601811389
15,133,2,0.12734261,0.610803,0.483052741,0.537311416
13,280,2,0.12402439,0.283148646,0.282442548,0.283105139
32,159,2,0.095545278,0.698732685,0.715976933,0.691773516
69,163,2,0.093042639,0.410224987,0.417326686,0.410914158
75,147,2,0.041130604,0.521532292,0.52153503,0.521529442
1,137,2,0,0.273704108,0.273704108,0.273704107
10,171,2,0,0.293481182,0.293481182,0.293481182
11,165,2,0,0.325411405,0.325416246,0.325405899
14,146,2,0,0.337223372,0.337223372,0.337223372
16,162,2,0,0.419724409,0.419724409,0.419724409
17,268,2,0,0.488504492,0.488504492,0.488504492
2,187,2,0,0.348403068,0.348403068,0.348403068
21,155,2,0,0.367960216,0.367960216,0.367960216
23,109,2,0,0.517961131,0.517961131,0.517961131
27,166,2,0,0.311814767,0.311814767,0.311814767
3,189,2,0,0.749785598,0.749785598,0.749785598
33,154,2,0,0.883978814,0.883978814,0.883978814
4,123,2,0,0.402414518,0.402414518,0.402414518
55,173,2,0,0.377782874,0.377782875,0.377782872
56,189,2,0,0.616829232,0.616829242,0.616829202
7,195,2,0,0.33419381,0.33419381,0.33419381
8,156,2,0,0.36080484,0.36080484,0.36080484
